x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,2.09613,0,-2.29681,0,0.966669,0,-1.93869,0,-0.902742,0,-0.0565186
1,2.09589,1,-1.77212,1,0.491442,1,-1.93869,1,-1.20661,1,-0.0565186
2,0.64386,2,-1.47605,2,-0.180729,2,-1.93869,2,-1.67994,2,-0.702794
3,0.87085,3,-0.639476,3,0.69431,3,-1.93869,3,-1.96925,3,-0.239084
4,3.03824,4,0.359751,4,1.56729,4,-1.93869,4,-0.408109,4,0.147146
5,1.37302,5,1.12692,5,1.94324,5,-0.0742715,5,-0.404397,5,-0.289407
6,2.09531,6,1.20331,6,0.889182,6,-0.799029,6,0.789465,6,-0.552901
7,1.85556,7,-0.177817,7,0.64918,7,0.627629,7,-0.42049,7,-0.654449
8,2.08987,8,-0.310746,8,0.793016,8,-0.04869,8,-0.000637034,8,-0.549487
9,1.83511,9,-0.472259,9,1.0056,9,-0.276262,9,-0.149825,9,-0.669617
10,1.39368,10,0.052171,10,1.4772,10,-0.233246,10,0.187029,10,-0.533027
11,2.05637,11,-0.197597,11,0.96083,11,-0.402996,11,0.0453751,11,-0.310965
12,1.39511,12,0.110128,12,1.69339,12,0.911301,12,0.396721,12,0.0832554
13,1.75198,13,-0.0672578,13,1.04363,13,0.577368,13,0.172415,13,-0.467688
14,0.472076,14,1.5573,14,1.04086,14,0.628623,14,0.002251,14,-0.12722
15,1.57458,15,0.890839,15,1.05246,15,0.908975,15,-0.119685,15,0.137227
16,1.15002,16,0.013808,16,1.41303,16,0.12468,16,-0.0421089,16,-0.0157504
17,1.53549,17,0.0778618,17,2.29688,17,0.313766,17,-1.00115,17,-0.452935
18,0.413208,18,0.558888,18,1.36562,18,1.52686,18,-1.40047,18,-1.21882
19,0.909637,19,-0.121548,19,1.00871,19,1.24242,19,-0.365846,19,-1.52443
20,1.53812,20,-0.136268,20,-0.211723,20,-0.211533,20,0.0710612,20,-2.12504
21,0.232117,21,0.641944,21,-0.132231,21,0.188959,21,-0.299006,21,-1.47597
22,1.89209,22,1.12014,22,1.53036,22,0.303461,22,-0.0395715,22,-0.837541
23,2.50632,23,0.665109,23,1.84467,23,-0.645392,23,-0.27224,23,-1.15205
24,1.14001,24,0.178972,24,1.65421,24,-0.0304398,24,-0.368911,24,-1.40027
25,1.60165,25,0.310063,25,0.369289,25,0.249607,25,-0.00165376,25,-0.878206
26,1.36371,26,1.13915,26,0.0852655,26,-0.864659,26,0.654119,26,0.0746614
27,1.36371,27,0.130677,27,0.976841,27,-0.266835,27,0.182274,27,-0.754232
28,2.80893,28,0.0724243,28,1.59027,28,-0.739807,28,-1.11831,28,-2.02675
29,0.434723,29,-0.089574,29,1.61651,29,1.11272,29,-0.290243,29,-2.1168
30,1.80502,30,0.532857,30,1.62663,30,0.396054,30,0.874596,30,-1.87541
31,0.00506592,31,0.866326,31,0.982444,31,0.205552,31,-0.188615,31,-1.76032
32,1.70291,32,1.48904,32,0.654019,32,-0.117226,32,-0.49945,32,-1.50278
33,0.0853577,33,-0.0837663,33,0.235091,33,0.148042,33,-0.684021,33,-1.52177
34,2.2915,34,-0.491386,34,1.0372,34,0.822147,34,-0.462461,34,-0.3232
35,0.861359,35,0.136016,35,1.14341,35,0.0423653,35,-0.683866,35,-0.155809
36,2.12277,36,0.321991,36,-0.0881266,36,0.340985,36,-1.85533,36,-1.43138
37,1.27115,37,0.584568,37,0.304379,37,0.123347,37,-0.85868,37,-1.62199
38,1.33658,38,1.3795,38,1.61368,38,0.206473,38,0.631105,38,-1.13491
39,1.58282,39,1.14539,39,1.70581,39,0.639333,39,0.0505568,39,-1.44975
40,1.16867,40,0.901197,40,1.46564,40,-0.201342,40,0.409357,40,-1.70943
41,2.22058,41,1.14846,41,2.18962,41,0.469137,41,0.377756,41,-0.70198
42,0.140991,42,1.24196,42,2.51046,42,-0.942956,42,0.817891,42,0.0497486
43,2.08362,43,0.0383101,43,2.24424,43,0.0597341,43,-0.0253843,43,-0.311616
44,1.03934,44,-0.167857,44,1.72946,44,0.685904,44,-0.00819061,44,-0.126765
