x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5
0, 1.95312, 0, -0.382996, 0, -0.338203, 0, -1.20627, 0, 0.452808, 0, 0.192688
1, 1.95288, 1, -0.0780092, 1, -0.100575, 1, -1.20627, 1, -0.697988, 1, 0.192688
2, 0.500854, 2, 0.0535961, 2, -0.152967, 2, -1.20627, 2, -1.01635, 2, -0.970601
3, -1.90741, 3, 0.369135, 3, -1.21483, 3, -1.20627, 3, -1.40198, 3, -0.573554
4, 2.3725, 4, -0.578159, 4, -0.55285, 4, -1.20627, 4, -1.15097, 4, -1.64511
5, 0.256134, 5, -0.509088, 5, 0.129912, 5, -0.460496, 5, -0.165159, 5, -2.14211
6, 2.43414, 6, 0.639278, 6, -0.543425, 6, 0.134919, 6, 0.161401, 6, -0.830012
7, 0.265717, 7, 0.495567, 7, -0.419271, 7, -0.291447, 7, -0.286793, 7, -1.03541
8, 1.68402, 8, 0.798785, 8, -0.652203, 8, -0.286929, 8, 0.387527, 8, -1.26281
9, 0.766144, 9, 0.57509, 9, 0.2487, 9, -0.0548395, 9, -0.00362362, 9, -1.14734
10, 1.66898, 10, 1.50612, 10, 0.676937, 10, 0.185991, 10, -0.0552608, 10, -0.157096
11, 0.7854, 11, 0.866963, 11, 0.503568, 11, -1.30546, 11, 0.15389, 11, -0.243328
12, 1.6933, 12, 0.700716, 12, 0.692915, 12, -0.170192, 12, -0.0780709, 12, -1.38592
13, 1.49817, 13, 0.581554, 13, 0.358236, 13, 0.280277, 13, -1.45743, 13, -1.37021
14, 2.00409, 14, 0.527191, 14, -0.729188, 14, 0.435996, 14, -1.46774, 14, -0.537385
15, 2.63565, 15, 0.472665, 15, -0.681089, 15, -0.0189544, 15, -1.01192, 15, -0.685635
16, 1.95312, 16, -0.0437841, 16, 0.0766843, 16, 0.30231, 16, -0.255287, 16, -0.750434
17, 1.90973, 17, -0.115799, 17, 0.167961, 17, 0.660131, 17, -1.2936, 17, -0.937282
18, 1.16855, 18, 0.6025, 18, -0.784241, 18, 0.568699, 18, -1.54653, 18, -0.49339
19, 0.335327, 19, -0.428816, 19, 0.908033, 19, -0.710794, 19, -1.27816, 19, -0.240046
20, 2.13916, 20, -0.174743, 20, 0.680058, 20, -0.650988, 20, -0.728783, 20, -0.875388
21, 0.925659, 21, 0.10411, 21, -0.0921161, 21, 0.213227, 21, -0.143177, 21, -1.52394
22, 0.146973, 22, 0.540255, 22, -0.765312, 22, -0.0480375, 22, 0.320277, 22, -1.47807
23, 2.63351, 23, 0.166107, 23, -0.0339885, 23, 0.143751, 23, -0.360065, 23, -1.04346
24, 1.70898, 24, -0.154674, 24, 0.971863, 24, 0.0697698, 24, -0.663466, 24, -1.5358
25, 1.67804, 25, -0.0725245, 25, -0.720202, 25, 0.20219, 25, -0.729518, 25, -1.98994
26, 0.497162, 26, 0.507732, 26, -1.06003, 26, 0.257375, 26, -0.101876, 26, -1.35538
27, 1.46097, 27, 0.243798, 27, -0.167643, 27, 0.258575, 27, -0.452019, 27, -1.31014
28, 2.66922, 28, -0.533507, 28, -0.556623, 28, -0.303589, 28, -0.902723, 28, -1.11121
29, 1.00983, 29, -0.819022, 29, -1.06411, 29, 1.22352, 29, -0.164488, 29, -1.04531
30, 2.39444, 30, -0.617408, 30, -0.194634, 30, 0.208363, 30, 0.625773, 30, -0.452745
31, 1.74881, 31, -0.697341, 31, -0.491286, 31, -0.226516, 31, -0.0258338, 31, 0.0317386
32, 1.70898, 32, -0.190739, 32, -0.193405, 32, -0.792631, 32, -1.22425, 32, -0.437319
33, 0.604858, 33, -0.0788095, 33, 0.875112, 33, 0.73336, 33, -1.03798, 33, -1.0561
34, 1.14084, 34, 0.107582, 34, 0.397231, 34, -0.464284, 34, -0.065485, 34, -0.47261
35, 0.359192, 35, -0.153581, 35, 0.314749, 35, -0.388996, 35, -0.583811, 35, -0.629349
36, 1.30945, 36, -0.360862, 36, 0.30952, 36, 0.151515, 36, -0.622687, 36, -1.51992
37, 1.67865, 37, 0.186316, 37, 0.795631, 37, 0.818081, 37, -0.4901, 37, -1.62303
38, 1.70898, 38, 1.19958, 38, 0.810409, 38, -0.715877, 38, -0.383628, 38, -0.583012
39, 1.48987, 39, -0.215525, 39, 0.547334, 39, 0.888118, 39, -1.65544, 39, -0.750997
40, 1.46484, 40, -0.112325, 40, 0.963384, 40, 0.341504, 40, -1.79897, 40, -1.21653
41, 2.56586, 41, 0.698326, 41, 0.39708, 41, -0.173035, 41, -0.795332, 41, -0.659605
